Area,mnemonic,Economic activity rate - aged 16-64_Numerator,Economic activity rate - aged 16-64_Denominator,Economic activity rate - aged 16-64,Employment rate - aged 16-64_Numerator,Employment rate - aged 16-64_Denominator,Employment rate - aged 16-64,Unemployment rate - aged 16-64_Numerator,Unemployment rate - aged 16-64_Denominator,Unemployment rate - aged 16-64,Unemployment rate - aged 16+_Numerator,Unemployment rate - aged 16+_Denominator,Unemployment rate - aged 16+,% who are economically inactive - aged 16-64_Numerator,% who are economically inactive - aged 16-64_Denominator,% who are economically inactive - aged 16-64,% of economically inactive who want a job_Numerator,% of economically inactive who want a job_Denominator,% of economically inactive who want a job,% of economically inactive who do not want a job_Numerator,% of economically inactive who do not want a job_Denominator,% of economically inactive who do not want a job,Year,Area_Name,Area_Type
nuts316:Hartlepool and Stockton-on-Tees,UKC11,,,,,,,,,,,,,,,,,,,,,,2005,Hartlepool and Stockton-on-Tees,nuts316
nuts316:South Teesside,UKC12,,,,,,,,,,,,,,,,,,,,,,2005,South Teesside,nuts316
nuts316:Darlington,UKC13,,,,,,,,,,,,,,,,,,,,,,2005,Darlington,nuts316
nuts316:Durham CC,UKC14,,,,,,,,,,,,,,,,,,,,,,2005,Durham CC,nuts316
nuts316:Northumberland,UKC21,,,,,,,,,,,,,,,,,,,,,,2005,Northumberland,nuts316
nuts316:Tyneside,UKC22,,,,,,,,,,,,,,,,,,,,,,2005,Tyneside,nuts316
nuts316:Sunderland,UKC23,,,,,,,,,,,,,,,,,,,,,,2005,Sunderland,nuts316
nuts316:West Cumbria,UKD11,,,,,,,,,,,,,,,,,,,,,,2005,West Cumbria,nuts316
nuts316:East Cumbria,UKD12,,,,,,,,,,,,,,,,,,,,,,2005,East Cumbria,nuts316
nuts316:Manchester,UKD33,,,,,,,,,,,,,,,,,,,,,,2005,Manchester,nuts316
nuts316:Greater Manchester South West,UKD34,,,,,,,,,,,,,,,,,,,,,,2005,Greater Manchester South West,nuts316
nuts316:Greater Manchester South East,UKD35,,,,,,,,,,,,,,,,,,,,,,2005,Greater Manchester South East,nuts316
nuts316:Greater Manchester North West,UKD36,,,,,,,,,,,,,,,,,,,,,,2005,Greater Manchester North West,nuts316
nuts316:Greater Manchester North East,UKD37,,,,,,,,,,,,,,,,,,,,,,2005,Greater Manchester North East,nuts316
nuts316:Blackburn with Darwen,UKD41,,,,,,,,,,,,,,,,,,,,,,2005,Blackburn with Darwen,nuts316
nuts316:Blackpool,UKD42,,,,,,,,,,,,,,,,,,,,,,2005,Blackpool,nuts316
nuts316:Lancaster and Wyre,UKD44,,,,,,,,,,,,,,,,,,,,,,2005,Lancaster and Wyre,nuts316
nuts316:Mid Lancashire,UKD45,,,,,,,,,,,,,,,,,,,,,,2005,Mid Lancashire,nuts316
nuts316:East Lancashire,UKD46,,,,,,,,,,,,,,,,,,,,,,2005,East Lancashire,nuts316
nuts316:Chorley and West Lancashire,UKD47,,,,,,,,,,,,,,,,,,,,,,2005,Chorley and West Lancashire,nuts316
nuts316:Warrington,UKD61,,,,,,,,,,,,,,,,,,,,,,2005,Warrington,nuts316
nuts316:Cheshire East,UKD62,,,,,,,,,,,,,,,,,,,,,,2005,Cheshire East,nuts316
nuts316:Cheshire West and Chester,UKD63,,,,,,,,,,,,,,,,,,,,,,2005,Cheshire West and Chester,nuts316
nuts316:East Merseyside,UKD71,,,,,,,,,,,,,,,,,,,,,,2005,East Merseyside,nuts316
nuts316:Liverpool,UKD72,,,,,,,,,,,,,,,,,,,,,,2005,Liverpool,nuts316
nuts316:Sefton,UKD73,,,,,,,,,,,,,,,,,,,,,,2005,Sefton,nuts316
nuts316:Wirral,UKD74,,,,,,,,,,,,,,,,,,,,,,2005,Wirral,nuts316
"nuts316:Kingston upon Hull, City of",UKE11,,,,,,,,,,,,,,,,,,,,,,2005,"Kingston upon Hull, City of",nuts316
nuts316:East Riding of Yorkshire,UKE12,,,,,,,,,,,,,,,,,,,,,,2005,East Riding of Yorkshire,nuts316
nuts316:North and North East Lincolnshire,UKE13,,,,,,,,,,,,,,,,,,,,,,2005,North and North East Lincolnshire,nuts316
nuts316:York,UKE21,,,,,,,,,,,,,,,,,,,,,,2005,York,nuts316
nuts316:North Yorkshire CC,UKE22,,,,,,,,,,,,,,,,,,,,,,2005,North Yorkshire CC,nuts316
"nuts316:Barnsley, Doncaster and Rotherham",UKE31,,,,,,,,,,,,,,,,,,,,,,2005,"Barnsley, Doncaster and Rotherham",nuts316
